2013-08-28 09:10:53,013 DEBUG NPJPRG010 JPJPRG01001 exec:52809847 | Springのコンテナを起動します。 | jp.co.ctc_g.pjnavi.fw.batch.operator.JobOperator (JobOperator.java@109)
2013-08-28 09:11:01,193 DEBUG NPJPRG010 JPJPRG01001 exec:52809847 | Registered literal convertors to jp.co.ctc_g.jfw.core.jdbc.mybatis.LiteralConvertorRegistory@b35c00 | jp.co.ctc_g.pjnavi.fw.jdbc.mybatis.LiteralConvertorRegistrar (LiteralConvertorRegistrar.java@27)
2013-08-28 09:11:01,221  INFO NPJPRG010 JPJPRG01001 exec:52809847 | IFW9211:入力パラメータ：ジョブネットID:=[npjprg010],ジョブID:=[jpjprg01001],実行時ID:=[52809847],ジョブパラメータ:=[{pjcd=7}]： | jp.co.ctc_g.pjnavi.fw.batch.operator.JobOperator (JobOperator.java@111)
2013-08-28 09:11:01,222  INFO NPJPRG010 JPJPRG01001 exec:52809847 | IFW9202:ジョブを開始しました。jpjprg01001 | jp.co.ctc_g.pjnavi.fw.batch.operator.JobOperator (JobOperator.java@112)
2013-08-28 09:11:01,256 DEBUG NPJPRG010 JPJPRG01001 exec:52809847 | ooo Using Connection [jdbc:oracle:thin:@10.250.24.20:1552/tpjdb, UserName=PJ_TEST02, Oracle JDBC driver] | jp.co.ctc_g.pjnavi.fw.batch.job.JobExecutorDaoImpl.find (Slf4jImpl.java@47)
2013-08-28 09:11:01,260 DEBUG NPJPRG010 JPJPRG01001 exec:52809847 | ==>  Preparing: /* jp.co.ctc_g.pjnavi.fw.batch.job.JobExecutorDaoImpl.find */ select BUSI_DT as BUSINESS_DATE from PJTM_FW_BUSI_DT where ON_BAT_SEG = 'BT'  | jp.co.ctc_g.pjnavi.fw.batch.job.JobExecutorDaoImpl.find (Slf4jImpl.java@47)
2013-08-28 09:11:01,327 DEBUG NPJPRG010 JPJPRG01001 exec:52809847 | ==> Parameters:  | jp.co.ctc_g.pjnavi.fw.batch.job.JobExecutorDaoImpl.find (Slf4jImpl.java@47)
2013-08-28 09:11:01,353  INFO NPJPRG010 JPJPRG01001 exec:52809847 | IFW9205:業務処理 INIT  開始 | jp.co.ctc_g.pjnavi.fw.batch.job.JobExecutorImpl (JobExecutorImpl.java@81)
2013-08-28 09:11:01,358 DEBUG NPJPRG010 JPJPRG01001 exec:52809847 | Creating new transaction with name [jp.co.ctc_g.pjnavi.batch.pj.npjprg010.Jpjprg01001JobImpl.doInitialize]: PROPAGATION_REQUIRED,ISOLATION_READ_COMMITTED,-java.lang.Throwable,+jp.co.ctc_g.pjnavi.fw.batch.exception.JobSkipException | jp.co.ctc_g.pjnavi.fw.jdbc.PjnaviDataSourceTransactionManager (AbstractPlatformTransactionManager.java@365)
2013-08-28 09:11:01,359 DEBUG NPJPRG010 JPJPRG01001 exec:52809847 | Acquired Connection [jdbc:oracle:thin:@10.250.24.20:1552/tpjdb, UserName=PJ_TEST02, Oracle JDBC driver] for JDBC transaction | jp.co.ctc_g.pjnavi.fw.jdbc.PjnaviDataSourceTransactionManager (DataSourceTransactionManager.java@204)
2013-08-28 09:11:01,361 DEBUG NPJPRG010 JPJPRG01001 exec:52809847 | Switching JDBC Connection [jdbc:oracle:thin:@10.250.24.20:1552/tpjdb, UserName=PJ_TEST02, Oracle JDBC driver] to manual commit | jp.co.ctc_g.pjnavi.fw.jdbc.PjnaviDataSourceTransactionManager (DataSourceTransactionManager.java@221)
2013-08-28 09:11:01,361  INFO NPJPRG010 JPJPRG01001 exec:52809847 | トランザクションを開始しました。 | jp.co.ctc_g.pjnavi.fw.jdbc.PjnaviDataSourceTransactionManager (PjnaviDataSourceTransactionManager.java@28)
2013-08-28 09:11:01,369 DEBUG NPJPRG010 JPJPRG01001 exec:52809847 | Initiating transaction commit | jp.co.ctc_g.pjnavi.fw.jdbc.PjnaviDataSourceTransactionManager (AbstractPlatformTransactionManager.java@752)
2013-08-28 09:11:01,369 DEBUG NPJPRG010 JPJPRG01001 exec:52809847 | Committing JDBC transaction on Connection [jdbc:oracle:thin:@10.250.24.20:1552/tpjdb, UserName=PJ_TEST02, Oracle JDBC driver] | jp.co.ctc_g.pjnavi.fw.jdbc.PjnaviDataSourceTransactionManager (DataSourceTransactionManager.java@264)
2013-08-28 09:11:01,370  INFO NPJPRG010 JPJPRG01001 exec:52809847 | トランザクションをコミットしました。 | jp.co.ctc_g.pjnavi.fw.jdbc.PjnaviDataSourceTransactionManager (PjnaviDataSourceTransactionManager.java@34)
2013-08-28 09:11:01,370 DEBUG NPJPRG010 JPJPRG01001 exec:52809847 | Releasing JDBC Connection [jdbc:oracle:thin:@10.250.24.20:1552/tpjdb, UserName=PJ_TEST02, Oracle JDBC driver] after transaction | jp.co.ctc_g.pjnavi.fw.jdbc.PjnaviDataSourceTransactionManager (DataSourceTransactionManager.java@322)
2013-08-28 09:11:01,374  INFO NPJPRG010 JPJPRG01001 exec:52809847 | IFW9206:業務処理 INIT  終了：18.72 ms | jp.co.ctc_g.pjnavi.fw.batch.job.JobExecutorImpl (JobExecutorImpl.java@83)
