2013-08-28 08:36:39,827 DEBUG NPJPRG040 JPJPRG04101 exec:29895235 | Springのコンテナを起動します。 | jp.co.ctc_g.pjnavi.fw.batch.operator.JobOperator (JobOperator.java@109)
2013-08-28 08:36:48,072 DEBUG NPJPRG040 JPJPRG04101 exec:29895235 | Registered literal convertors to jp.co.ctc_g.jfw.core.jdbc.mybatis.LiteralConvertorRegistory@7f5d045b | jp.co.ctc_g.pjnavi.fw.jdbc.mybatis.LiteralConvertorRegistrar (LiteralConvertorRegistrar.java@27)
2013-08-28 08:36:48,100  INFO NPJPRG040 JPJPRG04101 exec:29895235 | IFW9211:入力パラメータ：ジョブネットID:=[npjprg040],ジョブID:=[jpjprg04101],実行時ID:=[29895235],ジョブパラメータ:=[{pjcd=7}]： | jp.co.ctc_g.pjnavi.fw.batch.operator.JobOperator (JobOperator.java@111)
2013-08-28 08:36:48,101  INFO NPJPRG040 JPJPRG04101 exec:29895235 | IFW9202:ジョブを開始しました。jpjprg04101 | jp.co.ctc_g.pjnavi.fw.batch.operator.JobOperator (JobOperator.java@112)
2013-08-28 08:36:48,136 DEBUG NPJPRG040 JPJPRG04101 exec:29895235 | ooo Using Connection [jdbc:oracle:thin:@10.250.24.20:1552/tpjdb, UserName=PJ_TEST02, Oracle JDBC driver] | jp.co.ctc_g.pjnavi.fw.batch.job.JobExecutorDaoImpl.find (Slf4jImpl.java@47)
2013-08-28 08:36:48,140 DEBUG NPJPRG040 JPJPRG04101 exec:29895235 | ==>  Preparing: /* jp.co.ctc_g.pjnavi.fw.batch.job.JobExecutorDaoImpl.find */ select BUSI_DT as BUSINESS_DATE from PJTM_FW_BUSI_DT where ON_BAT_SEG = 'BT'  | jp.co.ctc_g.pjnavi.fw.batch.job.JobExecutorDaoImpl.find (Slf4jImpl.java@47)
2013-08-28 08:36:48,209 DEBUG NPJPRG040 JPJPRG04101 exec:29895235 | ==> Parameters:  | jp.co.ctc_g.pjnavi.fw.batch.job.JobExecutorDaoImpl.find (Slf4jImpl.java@47)
2013-08-28 08:36:48,230  INFO NPJPRG040 JPJPRG04101 exec:29895235 | IFW9205:業務処理 INIT  開始 | jp.co.ctc_g.pjnavi.fw.batch.job.JobExecutorImpl (JobExecutorImpl.java@81)
2013-08-28 08:36:48,236 DEBUG NPJPRG040 JPJPRG04101 exec:29895235 | Creating new transaction with name [jp.co.ctc_g.pjnavi.batch.pj.npjprg040.Jpjprg04101JobImpl.doInitialize]: PROPAGATION_REQUIRED,ISOLATION_READ_COMMITTED,-java.lang.Throwable,+jp.co.ctc_g.pjnavi.fw.batch.exception.JobSkipException | jp.co.ctc_g.pjnavi.fw.jdbc.PjnaviDataSourceTransactionManager (AbstractPlatformTransactionManager.java@365)
2013-08-28 08:36:48,236 DEBUG NPJPRG040 JPJPRG04101 exec:29895235 | Acquired Connection [jdbc:oracle:thin:@10.250.24.20:1552/tpjdb, UserName=PJ_TEST02, Oracle JDBC driver] for JDBC transaction | jp.co.ctc_g.pjnavi.fw.jdbc.PjnaviDataSourceTransactionManager (DataSourceTransactionManager.java@204)
2013-08-28 08:36:48,238 DEBUG NPJPRG040 JPJPRG04101 exec:29895235 | Switching JDBC Connection [jdbc:oracle:thin:@10.250.24.20:1552/tpjdb, UserName=PJ_TEST02, Oracle JDBC driver] to manual commit | jp.co.ctc_g.pjnavi.fw.jdbc.PjnaviDataSourceTransactionManager (DataSourceTransactionManager.java@221)
