"2013/08/27","PJ12000197","","PJ12000197","真島_0 divide","","","688","","3","1.","WBS01","10","1","","","","0","","","","","0","0","","","","","0","","0","0","0","0","0","0","0","2013/04/01"
"2013/08/27","PJ12000197","","PJ12000197","真島_0 divide","","","693","688","3","1.","実績有りサマリ","20","2","","","","0","","","","","0","10","","","","","0","","0","0","0","0","0","0","0","2013/04/01"
"2013/08/27","PJ12000197","","PJ12000197","真島_0 divide","","","689","693","3","1.1.","社員_予定工数0_実績有り","70","3","2010115","","","0","2013/04/02","2013/04/10","","","0","10","","","","","0","","0","0","0","0","0","0","0","2013/04/01"
"2013/08/27","PJ12000197","","PJ12000197","真島_0 divide","","","690","693","3","1.2.","社員_成果物数量0_数量型_実績有あり","70","3","2010115","","","3","2013/04/02","2013/04/10","","","0","40","","","0","","0","","0","0","0","3","0","0","0","2013/04/01"
"2013/08/27","PJ12000197","","PJ12000197","真島_0 divide","","","691","693","3","1.3.","発注_予定工数0_実績有り","70","3","","001","株式会社　セゾン情報システムズ","0","2013/04/02","2013/04/10","","","0","10","","","","","0","","0","0","0","0","0","0","0","2013/04/01"
"2013/08/27","PJ12000197","","PJ12000197","真島_0 divide","","","692","693","3","1.4.","発注_成果物数量0_数量型_実績有り","70","3","","001","株式会社　セゾン情報システムズ","10","2013/04/02","2013/04/10","","","0","40","","","0","","0","","0","0","0","10","0","0","0","2013/04/01"
"2013/08/27","PJ12000197","","PJ12000197","真島_0 divide","","","694","688","3","2.","実績無しサマリ","20","2","","","","0","","","","","0","10","","","","","0","","0","0","0","0","0","0","0","2013/04/01"
"2013/08/27","PJ12000197","","PJ12000197","真島_0 divide","","","695","694","3","2.1.","社員_予定工数0_実績無し","70","3","2010115","","","0","2013/04/02","2013/04/10","","","0","10","","","","","0","","0","0","0","0","0","0","0","2013/04/01"
"2013/08/27","PJ12000197","","PJ12000197","真島_0 divide","","","696","694","3","2.2.","社員_成果物数量0_数量型_実績無し","70","3","2010115","","","3","2013/04/02","2013/04/10","","","0","40","","","0","","0","","0","0","0","3","0","0","0","2013/04/01"
"2013/08/27","PJ12000197","","PJ12000197","真島_0 divide","","","697","694","3","2.3.","発注_予定工数0_実績無し","70","3","","001","株式会社　セゾン情報システムズ","0","2013/04/02","2013/04/10","","","0","10","","","","","0","","0","0","0","0","0","0","0","2013/04/01"
"2013/08/27","PJ12000197","","PJ12000197","真島_0 divide","","","698","694","3","2.4.","発注_成果物数量0_数量型_実績無し","70","3","","001","株式会社　セゾン情報システムズ","10","2013/04/02","2013/04/10","","","0","40","","","0","","0","","0","0","0","10","0","0","0","2013/04/01"
"2013/08/27","PJ12000197","","PJ12000197","真島_0 divide","","","699","688","3","3.","複数担当者_予定工数0","70","2","2010115,2050019","","","0","2013/04/02","2013/04/10","","","0","10","","","","","0","","0","0","0","0","0","0","0","2013/04/01"
